candidate_id,rank,score,reasoning
CAND_0063622,1,88.06,"Exceptional Senior AI Engineer with 5.2 years of experience, including building search and ML systems at Niramai. Strong in NLP & Machine Learning, based in Hyderabad, Telangana, and highly responsive (92% response rate)."
CAND_0053605,2,87.34,"Exceptional Senior AI Engineer with 6.9 years of experience, including building search and ML systems at Verloop.io. Strong in LangChain & Semantic Search, based in Noida, Uttar Pradesh, and highly responsive (88% response rate)."
CAND_0068932,3,86.66,Outstanding match with 5.2 years of applied ML experience; previously shipped core retrieval pipelines at Krutrim. Relocation-ready and brings deep knowledge of Milvus & Prompt Engineering.
CAND_0048558,4,86.4,Strong founding-engineer material with 6.7 years of experience; shipped ranking and NLP models at Rephrase.ai. Showcases high active engagement and solid Information Retrieval & OpenSearch expertise.
CAND_0064326,5,86.357,Impressive candidate with 7.6 years of experience deploying production search systems at Sarvam AI. Possesses strong expertise in scikit-learn & PyTorch and a notice period of only 45 days.
CAND_0046525,6,85.497,Strong founding-engineer material with 6.1 years of experience; shipped ranking and NLP models at Genpact AI. Showcases high active engagement and solid Elasticsearch & LangChain expertise.
CAND_0064888,7,85.415,Strong founding-engineer material with 5.8 years of experience; shipped ranking and NLP models at Verloop.io. Showcases high active engagement and solid Embeddings & TensorFlow expertise.
CAND_0072688,8,85.321,"Exceptional Senior AI Engineer with 6.9 years of experience, including building search and ML systems at Niramai. Strong in Milvus & LoRA, based in Pune, Maharashtra, and highly responsive (87% response rate)."
CAND_0073314,9,84.988,Strong founding-engineer material with 5.2 years of experience; shipped ranking and NLP models at Aganitha. Showcases high active engagement and solid Prompt Engineering & Milvus expertise.
CAND_0004402,10,84.812,Strong founding-engineer material with 6.0 years of experience; shipped ranking and NLP models at Yellow.ai. Showcases high active engagement and solid OpenSearch & PyTorch expertise.
CAND_0066690,11,84.444,"Exceptional Senior AI Engineer with 4.8 years of experience, including building search and ML systems at Freshworks. Strong in Hugging Face Transformers & Sentence Transformers, based in Gurgaon, Haryana, and highly responsive (88% response rate)."
CAND_0026942,12,84.119,"Exceptional Senior AI Engineer with 6.0 years of experience, including building search and ML systems at Verloop.io. Strong in LangChain & TensorFlow, based in Chandigarh, Chandigarh, and highly responsive (84% response rate)."
CAND_0011327,13,84.108,Strong founding-engineer material with 6.3 years of experience; shipped ranking and NLP models at Krutrim. Showcases high active engagement and solid Sentence Transformers & Semantic Search expertise.
CAND_0077337,14,84.056,"Exceptional Senior AI Engineer with 7.0 years of experience, including building search and ML systems at Paytm. Strong in Semantic Search & QLoRA, based in Kochi, Kerala, and highly responsive (95% response rate)."
CAND_0067866,15,83.815,Impressive candidate with 6.4 years of experience deploying production search systems at Tech Mahindra. Possesses strong expertise in Embeddings & Elasticsearch and a notice period of only 45 days.
CAND_0023030,16,83.78,Outstanding match with 5.8 years of applied ML experience; previously shipped core retrieval pipelines at Dunder Mifflin. Relocation-ready and brings deep knowledge of Information Retrieval & Sentence Transformers.
CAND_0033179,17,83.733,"Exceptional Senior AI Engineer with 6.9 years of experience, including building search and ML systems at Wipro. Strong in Hugging Face Transformers & OpenSearch, based in Ahmedabad, Gujarat, and highly responsive (84% response rate)."
CAND_0043860,18,83.597,Impressive candidate with 6.1 years of experience deploying production search systems at Aganitha. Possesses strong expertise in Semantic Search & Information Retrieval and a notice period of only 30 days.
CAND_0061257,19,83.56,Impressive candidate with 8.0 years of experience deploying production search systems at LinkedIn. Possesses strong expertise in Machine Learning & Information Retrieval Systems and a notice period of only 30 days.
CAND_0050454,20,82.86,Strong founding-engineer material with 6.8 years of experience; shipped ranking and NLP models at Rephrase.ai. Showcases high active engagement and solid PyTorch & LangChain expertise.
CAND_0098454,21,82.79,Brings 6.6 years of production ML engineering experience from Meesho. Strong capabilities in Vector Search & NLP and is actively looking for new roles.
CAND_0093763,22,82.376,"Experienced ML engineer (5.0 years) skilled in FAISS & Vector Search, with history at Swiggy. Good fit for the role, though responsiveness is moderate (92% response rate)."
CAND_0006567,23,81.957,"Experienced ML engineer (7.9 years) skilled in scikit-learn & Search Backend, with history at Meta. Good fit for the role, though responsiveness is moderate (79% response rate)."
CAND_0018499,24,81.58,"Strong AI Engineer with 7.2 years of experience and search/retrieval background at Zomato. Based in Noida, Uttar Pradesh with a 15-day notice period."
CAND_0006418,25,81.019,"Strong AI Engineer with 5.7 years of experience and search/retrieval background at Verloop.io. Based in Gurgaon, Haryana with a 60-day notice period."
CAND_0070514,26,80.939,"Has 5.5 years of experience with product companies like Glance, having implemented Pinecone & Python systems. Located in Bangalore, Karnataka and ready to relocate."
CAND_0073982,27,80.764,"Has 7.0 years of experience with product companies like Dream11, having implemented Sentence Transformers & Qdrant systems. Located in Delhi, Delhi and ready to relocate."
CAND_0007596,28,80.756,"Strong AI Engineer with 4.4 years of experience and search/retrieval background at Flipkart. Based in Delhi, Delhi with a 45-day notice period."
CAND_0049120,29,80.745,"Experienced ML engineer (7.4 years) skilled in Hugging Face Transformers & Fine-tuning LLMs, with history at Wayne Enterprises. Good fit for the role, though responsiveness is moderate (66% response rate)."
CAND_0052328,30,80.52,"Experienced ML engineer (6.5 years) skilled in LoRA & OpenSearch, with history at Amazon. Good fit for the role, though responsiveness is moderate (79% response rate)."
CAND_0031842,31,80.398,Brings 3.5 years of production ML engineering experience from Ola. Strong capabilities in LLMs & Hugging Face Transformers and is actively looking for new roles.
CAND_0074342,32,80.311,"Experienced ML engineer (5.7 years) skilled in LangChain & Sentence Transformers, with history at Zoho. Good fit for the role, though responsiveness is moderate (76% response rate)."
CAND_0046132,33,80.254,"Experienced ML engineer (4.3 years) skilled in Information Retrieval & PyTorch, with history at Verloop.io. Good fit for the role, though responsiveness is moderate (94% response rate)."
CAND_0073504,34,79.924,"Strong AI Engineer with 6.6 years of experience and search/retrieval background at PolicyBazaar. Based in Gurgaon, Haryana with a 60-day notice period."
CAND_0062247,35,79.885,"Has 7.3 years of experience with product companies like Google, having implemented Pinecone & Vector Search systems. Located in Kochi, Kerala and ready to relocate."
CAND_0020781,36,79.881,Brings 7.5 years of production ML engineering experience from Dunder Mifflin. Strong capabilities in RAG & Hugging Face Transformers and is actively looking for new roles.
CAND_0012840,37,79.878,"Strong AI Engineer with 3.7 years of experience and search/retrieval background at Nykaa. Based in Mumbai, Maharashtra with a 60-day notice period."
CAND_0099769,38,79.863,"Experienced ML engineer (11.2 years) skilled in Hugging Face Transformers & Fine-tuning LLMs, with history at Hooli. Good fit for the role, though responsiveness is moderate (77% response rate)."
CAND_0025882,39,79.824,"Has 5.6 years of experience with product companies like Freshworks, having implemented scikit-learn & FAISS systems. Located in Chennai, Tamil Nadu and ready to relocate."
CAND_0081480,40,79.689,"Has 5.6 years of experience with product companies like Sarvam AI, having implemented Recommendation Systems & Vector Search systems. Located in Noida, Uttar Pradesh and ready to relocate."
CAND_0073883,41,79.434,"Has 5.3 years of experience with product companies like Krutrim, having implemented Hugging Face Transformers & Vector Search systems. Located in Chandigarh, Chandigarh and ready to relocate."
CAND_0052195,42,79.383,Brings 6.3 years of production ML engineering experience from Sarvam AI. Strong capabilities in Sentence Transformers & Prompt Engineering and is actively looking for new roles.
CAND_0057736,43,79.344,"Experienced ML engineer (6.2 years) skilled in Weaviate & Information Retrieval, with history at Mad Street Den. Good fit for the role, though responsiveness is moderate (92% response rate)."
CAND_0037160,44,79.32,"Has 6.0 years of experience with product companies like Haptik, having implemented LLMs & Weaviate systems. Located in Mumbai, Maharashtra and ready to relocate."
CAND_0028527,45,79.2,"Experienced ML engineer (5.4 years) skilled in LangChain & Qdrant, with history at Tech Mahindra. Good fit for the role, though responsiveness is moderate (90% response rate)."
CAND_0054546,46,79.199,"Experienced ML engineer (4.9 years) skilled in Qdrant & Hugging Face Transformers, with history at Razorpay. Good fit for the role, though responsiveness is moderate (92% response rate)."
CAND_0030468,47,78.993,"Has 5.4 years of experience with product companies like Swiggy, having implemented Information Retrieval Systems & TensorFlow systems. Located in Indore, Madhya Pradesh and ready to relocate."
CAND_0041669,48,78.965,Brings 8.0 years of production ML engineering experience from CRED. Strong capabilities in FAISS & Milvus and is actively looking for new roles.
CAND_0068811,49,78.96,"Experienced ML engineer (8.0 years) skilled in Vector Search & Qdrant, with history at Freshworks. Good fit for the role, though responsiveness is moderate (42% response rate)."
CAND_0078397,50,78.75,Brings 8.7 years of production ML engineering experience from Hooli. Strong capabilities in Pinecone & Embeddings and is actively looking for new roles.
CAND_0015967,51,78.7,"Experienced ML engineer (5.4 years) skilled in QLoRA & Pinecone, with history at Razorpay. Good fit for the role, though responsiveness is moderate (45% response rate)."
CAND_0012397,52,78.699,Brings 9.5 years of production ML engineering experience from Dunder Mifflin. Strong capabilities in Hugging Face Transformers & FAISS and is actively looking for new roles.
CAND_0083852,53,78.57,Brings 6.0 years of production ML engineering experience from Mad Street Den. Strong capabilities in Qdrant & QLoRA and is actively looking for new roles.
CAND_0027691,54,78.54,"Has 6.5 years of experience with product companies like Haptik, having implemented LoRA & Recommendation Systems systems. Located in Pune, Maharashtra and ready to relocate."
CAND_0046459,55,78.478,"Experienced ML engineer (4.5 years) skilled in Qdrant & Semantic Search, with history at upGrad. Good fit for the role, though responsiveness is moderate (84% response rate)."
CAND_0068351,56,78.38,"Strong AI Engineer with 6.4 years of experience and search/retrieval background at Sarvam AI. Based in Delhi, Delhi with a 0-day notice period."
CAND_0099347,57,78.307,"Experienced ML engineer (3.5 years) skilled in Hugging Face Transformers & LoRA, with history at Swiggy. Good fit for the role, though responsiveness is moderate (86% response rate)."
CAND_0017178,58,78.179,"Experienced ML engineer (4.2 years) skilled in QLoRA & Information Retrieval, with history at Swiggy. Good fit for the role, though responsiveness is moderate (85% response rate)."
CAND_0066999,59,78.14,"Strong AI Engineer with 5.9 years of experience and search/retrieval background at Microsoft. Based in Delhi, Delhi with a 15-day notice period."
CAND_0054194,60,78.06,"Strong AI Engineer with 7.6 years of experience and search/retrieval background at Wipro. Based in Gurgaon, Haryana with a 30-day notice period."
CAND_0069638,61,78.029,"Experienced ML engineer (6.2 years) skilled in Semantic Search & Prompt Engineering, with history at Swiggy. Good fit for the role, though responsiveness is moderate (64% response rate)."
CAND_0045250,62,78.02,"Experienced ML engineer (6.6 years) skilled in Sentence Transformers & Milvus, with history at Rephrase.ai. Good fit for the role, though responsiveness is moderate (74% response rate)."
CAND_0094292,63,77.968,Brings 6.5 years of production ML engineering experience from Vedantu. Strong capabilities in LLMs & PyTorch and is actively looking for new roles.
CAND_0062413,64,77.909,"Experienced ML engineer (6.6 years) skilled in Semantic Search & OpenSearch, with history at upGrad. Good fit for the role, though responsiveness is moderate (71% response rate)."
CAND_0010149,65,77.904,"Strong AI Engineer with 6.9 years of experience and search/retrieval background at Glance. Based in Bangalore, Karnataka with a 90-day notice period."
CAND_0096142,66,77.868,Brings 5.0 years of production ML engineering experience from upGrad. Strong capabilities in LoRA & Weaviate and is actively looking for new roles.
CAND_0089381,67,77.832,"Has 6.0 years of experience with product companies like Ola, having implemented PyTorch & Sentence Transformers systems. Located in Vizag, Andhra Pradesh and ready to relocate."
CAND_0006538,68,77.803,Brings 5.7 years of production ML engineering experience from Dream11. Strong capabilities in Recommendation Systems & scikit-learn and is actively looking for new roles.
CAND_0039983,69,77.772,"Experienced ML engineer (6.6 years) skilled in Machine Learning & Recommendation Systems, with history at Meesho. Good fit for the role, though responsiveness is moderate (73% response rate)."
CAND_0081852,70,77.753,"Experienced ML engineer (5.9 years) skilled in Semantic Search & Milvus, with history at Mad Street Den. Good fit for the role, though responsiveness is moderate (44% response rate)."
CAND_0005294,71,77.709,"Possesses 9.0 years of experience and solid foundational skills in ML systems engineering. Shows moderate activity signal from Pune, Maharashtra."
CAND_0030784,72,77.704,"Has 4.4 years of experience and foundational knowledge in Embeddings & RAG. Included in pool based on engagement signals and Delhi, Delhi location."
CAND_0018549,73,77.671,Decent fit with 6.8 years of experience and adjacent ML skills in Weaviate & Elasticsearch at Uber. Notice period is 60 days.
CAND_0007052,74,77.636,"Has 6.5 years of experience and foundational knowledge in RAG & Weaviate. Included in pool based on engagement signals and Pune, Maharashtra location."
CAND_0071939,75,77.56,Brings 6.4 years of developer experience with exposure to search pipelines at Krutrim. Fits adjacent skills criteria.
CAND_0097079,76,77.508,"Possesses 5.7 years of experience and solid foundational skills in scikit-learn & LangChain. Shows moderate activity signal from Jaipur, Rajasthan."
CAND_0092706,77,77.436,"Possesses 5.8 years of experience and solid foundational skills in Sentence Transformers & Fine-tuning LLMs. Shows moderate activity signal from Delhi, Delhi."
CAND_0018888,78,77.4,Brings 6.5 years of developer experience with exposure to search pipelines at Razorpay. Fits adjacent skills criteria.
CAND_0024407,79,77.392,Brings 5.3 years of developer experience with exposure to search pipelines at Infosys. Fits adjacent skills criteria.
CAND_0041610,80,77.391,"Possesses 6.7 years of experience and solid foundational skills in LoRA & Elasticsearch. Shows moderate activity signal from Indore, Madhya Pradesh."
CAND_0015057,81,77.372,"Has 4.6 years of experience and foundational knowledge in Sentence Transformers & Vector Search. Included in pool based on engagement signals and Pune, Maharashtra location."
CAND_0098217,82,77.362,Decent fit with 6.4 years of experience and adjacent ML skills in FAISS & Prompt Engineering at Glance. Notice period is 45 days.
CAND_0093626,83,77.224,"Has 7.0 years of experience and foundational knowledge in Milvus & Qdrant. Included in pool based on engagement signals and Noida, Uttar Pradesh location."
CAND_0048381,84,77.207,"Possesses 3.7 years of experience and solid foundational skills in Semantic Search & Recommendation Systems. Shows moderate activity signal from Delhi, Delhi."
CAND_0022484,85,77.186,"Possesses 4.1 years of experience and solid foundational skills in Hugging Face Transformers & Recommendation Systems. Shows moderate activity signal from Noida, Uttar Pradesh."
CAND_0088240,86,77.179,"Has 7.7 years of experience and foundational knowledge in LLMs & Semantic Search. Included in pool based on engagement signals and Bangalore, Karnataka location."
CAND_0008665,87,77.163,Brings 12.3 years of developer experience with exposure to search pipelines at Globex Inc. Fits adjacent skills criteria.
CAND_0052431,88,77.161,Decent fit with 5.3 years of experience and adjacent ML skills in Semantic Search & Milvus at Swiggy. Notice period is 45 days.
CAND_0099806,89,77.024,"Possesses 4.6 years of experience and solid foundational skills in LoRA & RAG. Shows moderate activity signal from Bhubaneswar, Odisha."
CAND_0046434,90,77.01,Brings 7.8 years of developer experience with exposure to search pipelines at Dunder Mifflin. Fits adjacent skills criteria.
CAND_0052335,91,76.991,Has 6.4 years of experience and foundational knowledge in PyTorch & Machine Learning. Included in pool based on engagement signals and Berlin location.
CAND_0033445,92,76.977,Decent fit with 6.8 years of experience and adjacent ML skills in Information Retrieval & Recommendation Systems at Vedantu. Notice period is 30 days.
CAND_0044213,93,76.969,"Has 3.7 years of experience and foundational knowledge in LoRA & Python. Included in pool based on engagement signals and Bangalore, Karnataka location."
CAND_0065430,94,76.949,"Has 4.4 years of experience and foundational knowledge in Pinecone & Semantic Search. Included in pool based on engagement signals and Mumbai, Maharashtra location."
CAND_0010839,95,76.934,Brings 9.4 years of developer experience with exposure to search pipelines at Wipro. Fits adjacent skills criteria.
CAND_0075574,96,76.916,"Possesses 5.7 years of experience and solid foundational skills in Hugging Face Transformers & Weaviate. Shows moderate activity signal from Bangalore, Karnataka."
CAND_0003841,97,76.88,"Possesses 5.0 years of experience and solid foundational skills in Pinecone & Fine-tuning LLMs. Shows moderate activity signal from Pune, Maharashtra."
CAND_0016553,98,76.85,"Possesses 8.3 years of experience and solid foundational skills in Embeddings & LLMs. Shows moderate activity signal from Ahmedabad, Gujarat."
CAND_0024526,99,76.82,Decent fit with 5.2 years of experience and adjacent ML skills in Hugging Face Transformers & Prompt Engineering at Initech. Notice period is 30 days.
CAND_0090300,100,76.804,Possesses 5.3 years of experience and solid foundational skills in Machine Learning & Fine-tuning LLMs. Shows moderate activity signal from San Francisco.
